Column,MissingValues
AAo_max_area,2442
AAo_min_area,2442
AAo_distensibility,5870
DAo_max_area,2442
DAo_min_area,2442
DAo_distensibility,5868
LAV_max,791
LAV_min,791
LASV,791
LAEF,791
RAV_max,791
RAV_min,791
RASV,791
RAEF,791
Ell_Global,1273
Ecc_Global,189
Err_Global,189
LVEDV,167
LVESV,167
LVSV,167
LVEF,167
LVCO,167
LVM,167
RVEDV,167
RVESV,167
RVSV,167
RVEF,167
WT_Global,164
WT_Max_Global,0
age_at_MRI,0
Sex,0
Weight_at_MRI,0
Height,0
BMI,0
BSA,0
DCM,7403
HCM,7403
CM,7403
SBP_at_MRI,8114
DBP_at_MRI,8115
MAP_at_MRI,8115
