,AAo_max_area,AAo_min_area,AAo_distensibility,DAo_max_area,DAo_min_area,DAo_distensibility,LAEF,RAEF,Ell_Global,Ecc_Global,Err_Global,LVEF,LVCO,RVEF,WT_Global,WT_Max_Global,age_at_MRI,Sex,Weight_at_MRI,Height,BMI,BSA,SBP_at_MRI,circum_PDSR,longit_PDSR,radial_PDSR,LVEDVi,LVESVi,LVMi,RVEDVi,RVESVi,RVSVi,LVSVi,RAV_mini,RAV_maxi,LASVi,LAV_mini,LAV_maxi,RASVi,chol_p30690_i0,creat_p30700_i0,HbA1c_p30750_i0,HDL_p30760_i0,LDL_p30780_i0
AAo_max_area,1.0,0.9851082628563954,-0.16495338203070467,0.5407578734740552,0.5527534418373531,-0.12730631226359404,-0.06709198685229013,-0.07640180768641877,0.05038230713164384,0.17263305718445965,-0.09378753872350956,-0.1421412548521655,0.2793086210239844,-0.17878371726491743,0.3836158582866488,0.37940961708165166,0.1802835025195885,0.3757800985358613,0.3555457717575434,0.3665818643677942,0.18691084572883346,0.39012355787802977,0.12577119898160988,-0.24311017348453814,-0.1703195871596745,0.17079216583981932,0.2761451222834442,0.2652955375204529,0.4005772391664222,0.26365206957627235,0.2851023045125872,0.15475197489880205,0.18630803151330225,0.15222054311415575,0.14692628275578035,0.022712741878045874,0.09465967330125859,0.07783762181350867,0.0800221624666023,-0.05252803292131592,0.2419869003406808,0.028789203554680218,-0.17562179131685138,-0.011504728851756296
AAo_min_area,0.9851082628563954,1.0,-0.2708231102072138,0.5434975931397464,0.5704249297795746,-0.17963879187725842,-0.06150935840641196,-0.06930963767477975,0.05789093447650493,0.171102389047265,-0.08067074394228105,-0.1414162282475916,0.2573549600942191,-0.17146805789569483,0.37357896752186454,0.38572923990840674,0.25589938980163923,0.35667425721710594,0.32184960551222175,0.3432796328462029,0.16145610183209597,0.3565391630944973,0.1281777665014921,-0.2825890503432238,-0.2204700353254037,0.20916360273780346,0.23454601529166483,0.23838521694103842,0.37550919412510014,0.22354145340828963,0.252728360878842,0.11980440167760474,0.1447697554600081,0.14120577945453644,0.13703582723017835,-0.015454915341240773,0.07530828147110011,0.04509062017200292,0.07570374140654301,-0.040008737176290485,0.23175840919899554,0.04362002236724409,-0.16019433391744492,-0.0032732287423313917
AAo_distensibility,-0.16495338203070467,-0.2708231102072138,1.0,-0.08593507462948183,-0.15321626234092975,0.815171230575093,-0.007827625318625913,-0.04085212681754357,-0.0032487374751443503,0.01331644728197582,-0.09123654926421985,-0.020720494267628262,-0.002234937577554041,-0.059264159965368705,-0.05792930352675724,-0.13582213971436052,-0.420138962859262,0.030564920370386925,0.05698335865040086,0.057120380031888136,0.032434219039650415,0.05981716728981129,-0.06112712485801209,0.2089557292788216,0.24294625540607348,-0.17195181947420768,0.09056733691588684,0.0661171131147325,-0.009527628940485438,0.11135371645751417,0.11121479039822921,0.07489635676223219,0.0826644844705963,0.039922845914714816,0.027265458385707028,0.10073568672756424,0.034263100515257355,0.07463089532599886,-0.0013923594546015928,-0.06691906289961226,0.012088416920617857,-0.09210570032670597,-0.041183755270295,-0.05225988277168627
DAo_max_area,0.5407578734740552,0.5434975931397464,-0.08593507462948183,1.0,0.9826953080036877,-0.07912188678934039,-0.10892875606116241,-0.12980243813927586,0.09935790264225831,0.25177920565416284,-0.15895420711663685,-0.20006933143948236,0.3431499617396749,-0.21198185023796193,0.5025741315088527,0.4480447602380983,0.23047974130929003,0.5247399327167717,0.469737053174716,0.474806880250836,0.25399833253577186,0.5143159693210866,0.1180509179824808,-0.28215471711879053,-0.190167157372136,0.2001938711014989,0.36016662383301706,0.35438120097237524,0.5137434539765574,0.35465774132727707,0.3687624590255306,0.22346015940895755,0.23436214830625063,0.18740053341044913,0.16035817532639227,0.07060739593857353,0.1505236566716477,0.1410937160690999,0.057754722401074744,-0.06312211951311289,0.32449882873783215,0.047900103188431464,-0.26361487594578353,-0.0010695838537771692
DAo_min_area,0.5527534418373531,0.5704249297795746,-0.15321626234092975,0.9826953080036877,1.0,-0.18366036359661617,-0.11220531136033682,-0.1229813064458985,0.12258409685801852,0.2590049420886396,-0.15312897650114565,-0.20811216500271365,0.329474495590701,-0.2141500497196475,0.4992514395446121,0.46106161200799856,0.31528167136558494,0.5146694767135781,0.44723121821824696,0.45562219485244004,0.2385240302528222,0.4907316016770621,0.12575162312059024,-0.34376343473380505,-0.2608480829504587,0.26257751749537517,0.2978217510554952,0.3181618742144978,0.4806504041988591,0.29516378431544144,0.3269684816553182,0.1651708447114933,0.1678653758322021,0.17304180361989904,0.14390293652482167,0.02109061703612393,0.13696835148548736,0.10671541321202595,0.04505098199933095,-0.05174407343325945,0.32236010962240275,0.07138050970591865,-0.2538595915355987,0.0071716332337322195
DAo_distensibility,-0.12730631226359404,-0.17963879187725842,0.815171230575093,-0.07912188678934039,-0.18366036359661617,1.0,0.022452328495157926,-0.03499518994677563,-0.039467497968015616,-0.008206061100764103,-0.0680353834182541,0.00021702580373383912,-0.035151714236886906,-0.042460470177782414,-0.08347705321650467,-0.14319579144059977,-0.40046704918098885,-0.0037827701718225588,0.009144222170717,0.04075172733523246,-0.01320660003979313,0.016574798172158633,-0.06632950884760494,0.23149878902782392,0.25731505235437724,-0.199415304043474,0.11394130614345352,0.07163373230198962,-0.007078890469409829,0.1346272050416237,0.12084363889014924,0.10466622343114006,0.11591585380109659,0.04674079719227208,0.04411905917187977,0.08842063331344444,-0.001312180247388139,0.04347990913176694,0.02259328822327057,-0.05876095799061325,-0.01114978108103338,-0.10573880197015859,-0.013072782315983566,-0.051036183997552324
LAEF,-0.06709198685229013,-0.06150935840641196,-0.007827625318625913,-0.10892875606116241,-0.11220531136033682,0.022452328495157926,1.0,0.3713562969947413,-0.31499814837155393,-0.22695302928944353,0.2542004120795562,0.2557331485892557,0.1237716538004161,0.24998201654123578,-0.17191462180881598,-0.14150287751342158,-0.13563398513672517,-0.07451779219739874,-0.10156741979743826,-0.08132758121384567,-0.06851920707292829,-0.10340419156117024,0.016326514278440514,0.041892764995633235,0.02333405490366555,-0.062089673100988195,-0.08736142558387038,-0.2044225408471085,-0.146053303494412,-0.04449520331509236,-0.16562873756730834,0.09571724525636843,0.065411648624526,-0.3238976452054762,-0.17389270541610008,0.08045214026202308,-0.8096732626240151,-0.5278312834347705,0.1052611804747601,0.05450100728909021,-0.06523085742986633,-0.051610814151356724,0.050869927804411866,0.04572793037399408
RAEF,-0.07640180768641877,-0.06930963767477975,-0.04085212681754357,-0.12980243813927586,-0.1229813064458985,-0.03499518994677563,0.3713562969947413,1.0,-0.24565183706499114,-0.23437225882590873,0.2848068236319607,0.24219089641035563,0.09553323128490815,0.22670921884691897,-0.18896414596103958,-0.11801153521091923,-0.016047667166018024,-0.24822679810331094,-0.11844313449001,-0.22940229035022575,0.007904324012937525,-0.15658053009096945,0.0137982019672728,0.01971741447802868,-0.0029562696140209106,-0.03694792241348518,-0.12761720246139857,-0.22002765483207232,-0.1889653168104881,-0.15002938011085848,-0.22972804259196455,-0.01808658988347737,0.014444455739082443,-0.6008845534056533,-0.19950856565089356,0.09454883657884577,-0.2892476574389314,-0.1555162439518598,0.43973390121490463,0.040822934791364486,-0.17717705919518412,-0.008506550127794119,0.09368363694672517,0.016349935951195754
Ell_Global,0.05038230713164384,0.05789093447650493,-0.0032487374751443503,0.09935790264225831,0.12258409685801852,-0.039467497968015616,-0.31499814837155393,-0.24565183706499114,1.0,0.48507180729805455,-0.4432064518824945,-0.45486680971935173,-0.020367588816625908,-0.38766077574703556,0.23678005246133743,0.17779288030021634,0.025740113457154105,0.2343428207206906,0.08120337288066498,0.19414587869896155,-0.03348660892143863,0.11350791061432808,0.05689037891651522,-0.33353399957149726,-0.49966787166470406,0.3384758573581821,0.07015767342693723,0.30759290304211395,0.21865228069423667,0.03929673175884777,0.2362093933468892,-0.1777722968589263,-0.20055031227542708,0.18182701108885424,0.06941373658636292,-0.2274612956668718,0.1921878552597818,0.02065632782801478,-0.11510376679580775,-0.05544675186865501,0.15018672632994395,0.032261337601645484,-0.10992527115947485,-0.028204333220570973
Ecc_Global,0.17263305718445965,0.171102389047265,0.01331644728197582,0.25177920565416284,0.2590049420886396,-0.008206061100764103,-0.22695302928944353,-0.23437225882590873,0.48507180729805455,1.0,-0.7424765890052646,-0.7432152962641644,0.016248939401869066,-0.5783777365380979,0.2225563637854004,0.17857033139490233,-0.007035206049150861,0.33023060730245596,0.2197155513213147,0.26975412724852904,0.08682742173861346,0.25292308475396924,0.06438326107291091,-0.5450597413685022,-0.35050425960497916,0.46695981091467736,0.33597762467189884,0.6434418773006092,0.31444117768357155,0.20414537757775209,0.4561612072300285,-0.12423743747762218,-0.10425785893090919,0.2247763217131069,0.132765922657125,-0.13149534601100232,0.17491277117016737,0.0567226830048636,-0.04903912972863292,-0.07753805224337923,0.20444203299405328,0.028111320866117485,-0.18019879360335705,-0.032392407985460066
